ReviewID,Review,Service,Environment,Price
39,"Butteriest.
Pizza.
Ever.

I can't decide if it's the butter lathered on the crust or Bortolami's special cheese blend of Mozzarella and Provolone that makes this one of my favorite pizza joints in Vancouver. The pizzas melt in your mouth like butter, but better because it's pizza

Sign up for the VIP club to get $5 off with every $100 spent cause once you fall in love with Bortotami's Pizzeria, you'll quickly hit the Benjamin level thanks to addictive buttery pizza made from fresh dough and fresh sauce.

Only getting 1 pizza? Get the Cima Coppa Pizza with Teriyaki Chicken, Garlic Ranch Sauce, and drizzled with Teriyaki Sauce. Even better? Get a half-n-half pizza with a Gregario Pizza made up of Ham, Pineapple, Bacon, Chicken, and that famous Mozzarella & Provolone cheese blend.

Bortolami's has three other cheese options if you don't want the blend or want to add to it including Cheddar, Parmesan/Romano, and Feta cheeses. They also have gluten free crust for an up charge or a low carb (thin crust) option. Don't forget to bring a Growler for Beer fills at Reasonable prices, too.

Again, the Cima Coppa is one special pizza and the Gregario is pretty hard to pass up, but if you want to explore others. check out these alternatives:

 * An almost spicy Mondiale Pizza with Chicken, Frank's Hot Sauce, Ranch Dressing, Red Peppers, Green Peppers, and Cheddar Cheese

 * A Mexican-themed Vuelta Pizza with Refried Beans, Beef, Cheddar Cheese, Lettuce, Tomato, Olives, Red Onion, Salsa & Sour Cream

 * A meaty Pink Jersey (aka Maglia Rosa) Pizza with Salami, Italian Sausage, Pepperoni, and Ham

 * Feta & Strawberry Bruschetta with toasted Ciabatta, Feta Cheese, and organic Strawberry Jam

 * Jalapeno Bruschetta with toasted Ciabatta topped with Cream Cheese, Jalapenos, and Cheddar Cheese.

 * Pane Pasticciato (aka Pull-apart Bread) baked fresh with Garlic, Olive Oil, and Italian Herbs. Get it topped with Cheese cause it's nearly better than the pizzas.

Bortolami's Pizzeria has a cool cheese blend, a simple VIP club, cold local draft beers, crazy good cheese bread, and possibly the butteriest pizza ever ... making Bortolami's one of best pizza options in The Couve.",Undefined,Undefined,Reasonable
40,"quite possibly the best soup dumplings I ever had.. in North America.. no I didn't say the world yet, as I haven't been 2 Shanghai .. n yes, it's better than my fav. Chef Martin Yan's

Din Tai Fung here in WA state is so overhyped.. as I find this more tasty than that n the amount of broth in each dumpling is just so precise, so consistent n absolute satisfying chicken broth in each sip n wrapper so thin 2 hold in all the juicy goodness 4 u 2 enjoy enjoy

all of their dumplings r good; in particular, I like their crab n pork the most.. I can have just that n make it 3 trays 2 fill me up!

they hit on regular food as well! good moist Fried Rice that is not dry.. I like it like that n hate fried rice that is cooked 2 dry.. Xichaun Boiled Fish comes in big bowl n is so delicious n makes u say..

Oh Oh Oh",Neutral,Undefined,Undefined
41,"Yippie ki ohhhhh ... Yippie ki yaaaay
Ghost ... Runners ... in the Couve.

Small-batch craft beers brewed from the production-only Ghost Runners Brewery in Vancouver, Washington may be only a few years old, but local bars and restaurants know a good thing when they drink it. 

Ghost Runners has been selling their hand-crafted beers at dozens of local establishments like Killer Burger, Blind Onion, Twilight Pizza, Tommy O's, Pizza Schmizza, and Bortalami's for awhile, but I had the pleasure to join a private event at their production facilities. Oh the folks behind the brewery were charmers, but the real pleasure was drinking a variety of their seasonal brews ... and loving each of them. 

Their motto is ""You deserve a great beer."" and all I have to say to that is, ""You're right, I do.""

Here's what I had the chance to Ghost Run 'n Sip:

 * Boston Irish Red Ale 6.8% ABV; 40 IBUs
 * 5k IPA 6.4% ABV; 95 IBUs
 * Negative Split Stout (Nitro) 6.8% ABV; 35 IBUs
 * Hellacious Repeats Double IPA 8.4% ABV; 85 IBUs

Each beer at Ghost Runners Brewery bears a running-themed name because the owners are hardcore runners ... perfect for blending healthy lifestyle choices with a true love of beer. 

Anyway, I know I had you at beer. So, keep an eye out for Ghost Runners on tap at your local pub and then stop by their production facility when you want to order your own batch or fill your own keg or growler.",Negative,Good,Undefined
42,"New business just opened weeks ago. Pho here is good, full of flavor and stuffs. They also have special soup like five spiced duck which is perfect. I personally like that soup a lot. 

There are many asian restaurants in Portland have that bowl, but nowhere has it such high quality like here.",Undefined,Undefined,Cheap
43,"With so many wonderful accolades on Maenam, this seemed to be the perfect restaurant to try that wasn't west coast farm to table.  They're on Vancouver's best restaurant list and even in Canada's Top 100 restaurants.  Like I said... well regarded for it's flavours and service.  In Toronto we have our own regarded fine dining Thai restaurant but it hasn't seen the same awards or nods as here.  In comparison, I'm a bit of a loss at what happened to the Thai flavours in our dishes.

Maenam is right beside my other 2 fantastic discoveries in Kitsilano... Fable and Rain or Shine ice cream.  It's a nice spot ... modern warmth but leaning towards the minimalist.  The golden hues of the many wood panels help keep the noise level down.   It's needed a bit as we could clearly hear the tables beside us and their family debates.  

Service here is efficient and quick but we were missing any of the warmth or active interest that we experienced in Fable or Nightingale.  It just seemed... a bit functional and that's it.  There's nothing wrong with it but I would hope service be a bit more welcoming for a restaurant of this calibre.

The menu reads really well with a lot of variety of vegetarian, seafood, and meat dishes.  A lot of interesting dishes that go beyond the mundane pad thai and khao soi.  With a bit of help from the staff, we were able to pick 3 dishes to start and see where it takes us.  I'm honestly glad we did this cause we were struck on how small these plates were for the price point ... especially compared to the amazing dinner at Fable a few days before.

Brussel Sprout Salad - This was a nice side to have ... sprouts cut thick and then fried up crisp.  There is an Asian-esque sauce that is savoury and leaning towards a darker soy flavour.  But one thing that I noticed quickly... good but not Thai.  It was missing the sour bright citrus or the pungent fermented notes of fish sauce. Yes there was an underlying sweet note but then it just resembled a sweet soy sauce which could be Japanese or Indonesian.  3.5/5

8 Spice ling cod - This was a main but what arrived was more of a shared plate portion.  Smaller definitely but not minuscule.  I believe whoever is cooking is executing well as this one had tender soft cod encrusted in a hot crunchy crust that wasn't too thick.  That was well done but the sauce is where it faltered.  Yes it was a nice garlicky thick glaze that had a sweet undertone to it but ... once again, it was missing the Thai flavours. 
 No acidity, bitterness, or pungent flavours... just soy, garlic, and sugar.  And the sauce was quite syrupy sticky... it ruined the crispy crust quite quickly.  3.5/5
 
Stir fry of beef rib & holy basil - Tender beef rib was easy to tear into with just a fork.  This dish had a bit more variety of vegetables thrown into it and giving it more visual appeal.  I liked this one a bit more as it didnt have a stick glaze that just made every bit too sticky.  The only big issue again is flavour.  It's not bad but it's just generic Asian.  It's missing the Thai undertones ... no sour, sweet, or pungent.  Just soya sauce with a hint of herbs.  3.5/5

I would say that the overall execution and cooking of the dishes were good... nothing was wrong there but the flavours were not Thai.  Perhaps this is modified to suit a more North American palate but I was hoping more of the boldness and sharp balanced tastes that I've come to appreciate in the cuisine.  Comparing this dinner to a few doors down at Fable, this one was more Expensive for considerably less good food and flavours weren't a stand out.  It's unfortunate but I can't recommend this spot for good Thai food.",Neutral,Moderate,Expensive
44,"Oh Pizza Farina you were so on my list for favorite pizza joint in Vancouver until just over a week ago.  The pizza was fantastic as usual but unfortunately someone there needs to brush up on her people skills and treat others with respect.  Such a shame!  

Of course being that it was a Saturday night, it was busy and crowded in there.  We luckily got seats at the window which was great for people watching out on Main Street.  Two men came in with their elderly father, which was super cute and yes they had been drinking a little bit but they weren't obnoxious or rude.  

One went to order pizza while the other managed to secure some seats for their father at the big communal table.  The one brother seemed quite excited to be eating there and said ""I hear this is the best pizza in the world."" which made us laugh as they were so excited to be eating there. 

Now this really is the only comment I heard him saying as once they sat down they weren't as loud.  Keep in mind if they were really loud we would have heard more as we were right across from them.  Next thing a women who works there came up to them and mentioned that they were being disruptive and creating a scene and said she noticed that they had been drinking before coming in. It was a very unnecessary comment.  Then she came back about 5 minutes later and was on their case again by telling them they were being disruptive and loud.  One of the men asked her what her name was and she rudely said ""I rather not tell you"".  Eventually one of the men left and slammed the door behind him.  Right when that happened my response was ""that was justified"".  A woman sitting next to us turned to me and said why was that justified?  My response to her was because the lady working there was rude to them and they didn't deserve to be treated that way.  They were just two brothers taking their elderly father out for dinner.   The saddest comment was a few seconds later when we were getting ready to leave and the other brother says to his father I hope they don't do anything to our pizza now.

Pizza Farina you let me down with the way you treat your customers.  Yes, these men were drinking but they weren't creating any scenes or being disruptive and I am sure they have had customers far worse than these older gentlemen.",Negative,Good,Undefined
45,"I love the thrill of traveling and exploring a new place, but admittedly I feel a pinch being away from the Bay Area with its splendiferous produce, swimmingly fresh seafood and innovative cuisine, for too long. In fact, were to be an earthquake or apocalypse, I'd lament until the moment I cease about not having the opportunity to eat supreme for my last meal on earth. 

But as my distinguished hostess, Crystal H, showed me, not in Vancouver. No, no! Not with this stylish, unique little Japanese Fusion izakaya joint that combines quality ingredients with a potpourri of global influences. Not to be missed is their signature ebi chili mayo. Sure, the purists will wrinkle their noses, but can you really argue with deliciously plump shrimp battered into a golden puff and topped with spicy Kewpie? Get jealous, doughboy.

And what about crab and avocado with a mountain of soy fermented seaweed atop mixed greens? Want indulgence? It comes in the form of tuna tartare with a dollop of pop-in-your-mouth caviar. The duck and the service were the only things lacking. Wash it all down with a fresh fruit cocktail, just pick your fruit and base. My John Collins was so real there were seeds floating on top. 

And the kicker? It's just the right mix of moody, hip and intimate. Perfect for a last kiss on earth too!",Neutral,Moderate,Undefined
46,"Ok, this place is five stars all the way. 

Order lingcod fish and chips, dairy free clam chowder to go which is awesome on a cold day, and Vancouver Island root beer to stay local. The clam chowder is a meal in itself and is absolutely delish.

It's Vancouver's (not so new, but it still feels that way to me) number one fish and chips spot and it is as good as In-N-Out in SoCal, but with fish of course. Also, one piece is not enough, especially when the fish is this light and flaky. And mine lasted on the drive home for take-out, too.  My only complaint is that my portion must have been smaller than those mentioned in other reviews because I practically inhaled the fries and fish no problem and that is not usually the case at some other rival fish and chip mongers. So that one is a bit of a mystery. 

The coleslaw is also quite tasty but not really my thing; if they aren't too busy they might even make you a salad which is awesome.

But the number one reason to go is the friendly proprietor, Robert. Just do it. I was lucky enough to go early on a weekday so I was able to meet him. Yum. And I am talking about the fish; what did you think I meant?",Positive,Good,Expensive
47,"Honestly, maybe I have spent my time at too many disappointing one-off, trying-too-hard places as of late, but Earls has the best spicy chicken sandwich in town and amazing Canadian bacon cheeseburgers, too. (Can't really compare to Umami or In-N-Out now, can I?) As far as value is a concern, yes they are better than Romer's, too.
You can never question the service here, either. I can see why Americans are always so impressed by the chain us west coasters take for granted!

Not only that, but they have a great patio on one of our rare Sun-days--and they actually get lots of sun. You can't go wrong with the food or prices here. Bonus points for sunshine on what was supposed to be a rainy long weekend!",Positive,Bad,Cheap
48,"The food isn't bad the service isn't horrible and I would be a regular customer if the workers/servers there aren't trying to rip me off CONSTANTLY. The first time my boyfriend and I went there, we ordered two special subs and two soda water with lime. The price on the menu for the subs are $4.50 each and the drinks are $3.55 each. The subtotal should be $16.10 before tax and tips. When we went up to the cashier to pay, the subtotal was around $20. Back then I didn't think about the price and paid $20+ tips.

I came here a second time, ordered the exact same thing (because the food was really good) and AGAIN we got ripped off the same price. Again, I didn't argue but I took the take out menu and calculated it again when we were in the car and realized that we were being scammed around $5.

The third time my I went, he ordered the special sub, the soda water with lime, and I ordered a chicken pho. The subtotal price should be $16.30 but our bill was $16.50. Whatever. 

Last night, I went again and ordered 2 special subs, 1 soda water with lime and one soda water with salted lime. The subtotal should be $16.10. We were ready to argue with them should they overcharge us. And they did. When we went up to the cashier to pay, the guy was adding up the price on CALCULATOR hidden from our view instead of using the cash register. He said that our total was $19.52. I thought maybe it was a mistake, so he kindly asked ""so that price is including tips?"" And the guy said no. Then we started to break them down.

He took out his cell phone and showed how the prices are broken down and the total should be $16.10 + tax + 15% tips would equal to $19.44. The guy seems to remember prices of the items AFTER tax and said the drinks cost $4.50 after tax. I took out my phone and showed them that a $3.55 drink + 5% tax is $3.72 so how would it be $4.50?!! I don't remember the exact price of the sub they told me, but it definitely did NOT reflect the menu price. The guy who was charging us seemed a bit flustered so another server guy came over and we explained the situation to him. After we showed him the breakdown of the costs and such, he said ""oh the price of the menu just changed 10 days ago."" This is an absolute lie since the first time we got overcharged, it was around two months ago. 

I told them that this overcharging has happened before, then the guy #2 said ""I'm not the manager, you have to come in and talk to the manager."" Guy #1 was still saying the drink costs $4.50 after the menu. He kept contradicting himself since he insisted that the price of the drinks IS the same price on the menu ($3.55) but after 5% tax it's $4.50 when it's CLEARLY isn't. Whereas guy #2 said they are going what the manager said....and then the menu just happened to change 10 days ago. So many lies!!

All in all, the food is fairly decent and they have quite a bit of customers, so I don't see why they're ripping money off people. If you're going to eat, just do the math before you pay!!! I'm giving it a one star because I can stand mediocre food and perhaps mediocre service, but being scammed of my money is a huge NO-NO in my books. 

Be careful- do math before you pay the bill.",Positive,Bad,Reasonable
49,"The Vancouver Fish Company recently claimed the former Whet Bar space. Judging by the first couple days of opening by Managing Director Leigh Angman, brother Todd (Relish) and Steve Duyzer, (formerly GM at Stanley Park's Fish House and Exec. sous chef), they have already managed to blow their competition right out of the water! 

Just after 24 hours of opening, we decided to check it out and it did not disappoint. From the time we entered until departure, our service by Ben and surrounding waitstaff was warm, friendly and welcoming. I would definitely return (as a local) and recommend to tourists, too. (And if you know me, I don't recommend anywhere on Granville Island.)  Finally, a place that has found its sea legs! 

Order: decent wine list; my favoured Sandhill Viognier was not offered by the glass but they made an exception. I was starting to like this place already and I hadn't even tried the food! The wine selection seemed pretty decent by the glass, but was better by the bottle. 

Smoked Trout Dip- smoked to order lake trout, zucchini & spinach, pickled vegetables, fry bread -$16.99 Although the fry bread did not match the amount of dip (don't you hate that?) for an extra $3.99 we ordered more. This was one of our favourite dishes. Upon our server's recommendation, we chopped up the trout to mix in with the dip. Delicious! It would have been nice had there been enough fry bread to begin with however. Bread is Cheap; come on guys! As good as it was, a bit overpriced, all things considered.

Green Goddess Salad- sweet West Coast greens, roasted tomatoes, cucumber, pumpkin seeds, goddess dressing- pretty standard, but also quite tasty and nicely presented. 

Smoked Salmon Sockeye lox, dill cream sauce, mozzarella, provolone, pickled red onion, capers $17.99 - We were hyped up for the pizza after trying the fry bread. While there was an adequate amount of salmon which can be sparse on this type of pizza, nary a caper was to be found which was a bit disappointing. I found myself longing for a small lemon slice, too, as this is a dish that I often make at home, and a bit of acid to offset the fishiness goes a long way.

Trio of fish: salmon, ahi tuna and arctic char, this was also beautifully presented and did not disappoint. Next time, I would just order the salmon as that was the definite hit. The potatoes and few pieces of asparagus and carrots accompanied well, but if only there had been a few more. These things are inExpensive, so why not add on just a few extra?

Maple Creme Brulee with Peanut Brittle and a Maple Chocolate- the brulee did not taste as fresh as it could have been and was just okay, but the brittle and the chocolates were the hit here. Not a bad finish to the meal, however.

So, all of this for three people at roughly $60 per person with a 20% tip and we were not disappointed. While a bit pricey for what you get, like most places on the ""island"" you do pay for the view, but finally we could dine at a place with some brains to match the braun. I look forward to returning when they offer a more extensive menu and I see this place only improving  with time! Let's hope that I am correct!",Positive,Good,Expensive
50,"Tracy Stern is a little bit Marie Belle (quaint, beautiful chocolate shop) and a little bit Chocolate Bar (cool, hip, orange, modern decor)--both in NYC--and it was fun to reminisce about both on my last two visits here. And that's a good thing! 

My first time here I ordered a chicken focaccia sandwich at $9.50. It was ok, but a bit light on the chicken which was disappointing so I would take a pass on that one.

I was invited back, and this time I enjoyed the chicken club, quinoa yoghurt-based salad and gluten free brownie. And of course how could I overlook the tea?! I decided to try a lovely decaffeinated tea: ""The Natural Beauty,""  and it did not disappoint. If I ever decide to give up coffee for good, this would definitely be my first stop for a modern tea shop. I nursed this cup throughout the day in fact, and it was quite sweet, pleasing to drink and flavourful, yes, even for a self-professed coffee addict. 

The sandwich, while still sparse on the fillings was a much better choice.
 
The quinoa salad was quite tasty and a satisfying accompaniment to the rest of my lunch. It kept well as take out, and I was able to eat the rest with my dinner which was an added bonus.

The brownie, while not as sweet as what I've become so accustomed to eating from most bakeries was delicious and did not leave me feeling like I had overdone it with the sugar. In the end, I much preferred it to the rot-your-teeth kind of brownie that I've ordered all too often at other bakeries. Although I'm certainly not gluten free and I'm reluctant to become so, I appreciated this one, and I'd recommend it to those watching their gluten intake or otherwise.

I did not eat ""in"" for either visit, although I enjoyed the environment of the quaint little tea shop. Too bad the tables and chairs weren't near the front, however, as I'm sure it would draw even more people if they could re-arrange their layout to appear more welcoming.

Both times I was served by the sweetest server and proprietors ever. While it never seemed to get too lined up at the counter, they were busy serving both restaurant patrons and counter guests at the same time. It was fun to look at all of the products while I waited, so it didn't feel as if I was standing there for long. 

So, altho the sandwiches are a bit pricier than one might expect, I'd venture to go for the salads, desserts and teas that they offer and you won't be disappointed. It's certainly the cutest bakery/deli shop around in the Sogra 'hood. I will just have to try the full tea service next time.",Positive,Good,Expensive
51,"Did we walk in with super high expectations? Definitely! 
Did we leave impressed? HELL YES. 

The restaurant itself is clean, simplistic, and modern looking with wide open booths and a communal bar. The menu, organized as a pamphlet, consists of neat lists of various appetizers, stir fried entrees, curries, and noodles. Service is attentive and welcoming with multiple waiters checking in on us without any of them uncomfortably hovering.

For our lunch, we ordered pad kee mao with prawns and rama thai, a peanut sauce stir fry, with chicken, both at medium spicy. It did take some time for our food to be prepared, but they both came out steaming hot and looked positively amazing. Firstly, the portions were huge and well worth the price. Secondly, the smell wafting from each dish made both of our stomachs rumble in anticipation.

We absolutely loved the pad kee mao. The noodles were soft, without being mushy, and there were so many perfectly cooked prawns strewn throughout. At first, I thought medium spicy would pack just a little kick of heat. THIS WAS BY NO MEANS LITTLE. The spice coated our mouths in a delicious fiery blanket that was both painful and addicting.

The peanut sauce stir fry, on the other hand, soothed our fiery taste buds with a creamy and savory palate. The chicken was prepared as bite size pieces and cooked to tender perfection. We even loved the side of fluffy, fragrant rice that was served alongside it. By the time we finished both dishes, we were ready to surrender to the impending food coma hanging over our heads. 

Thai Wok Kitchen certainly deserves its perfect Yelp rating. The food was delicious, the ambiance was welcoming, the service was friendly, and the prices can't be beat. Five stars easy!",Positive,Good,Cheap
52,"* Definitions *

This is a review update that reflects a ""new experience or interaction with the business.""

Let me tell you about my most recent personal experience and interaction with the owner of this restaurant in follow-up to my past personal experiences at the restaurant.

So I hadn't been to this place since my negative experience many years ago, and the absolutely awful health reports detailed in my last review. I crossed them off my list and didn't return.

Yesterday I received a note from the owner asking me to remove my review that said, ""for the past two years, we've been under a completely different management and we've cleaned up our act! We put absolute emphasis on clean hygiene and we've passed all our inspection reports with no problems...would you please kindly remove your review?""

So based upon my personal experience of interacting with the owner via yelp message, I decided I would consider revisiting and see how it has changed today. As I like my stomach, and keeping it healthy, I decided to verify the owner's claim that they've cleaned up their act entirely and check out the latest health reports.

I am glad I checked before heading in the door. According to the health inspection reports looks like there is still a bit of an issue: 5 critical infractions and 2 non-critical infractions on their latest inspection (February 2016). Some of the issues include:

- Food stored in a manner that promotes cross contamination
- Potentially hazardous food is not stored, displayed or transported at a temperature of 4C or below
- The premises is not maintained in a sanitary condition
- Equipment, utensils and/or food contact surfaces are not maintained in a sanitary condition
- Sanitation plan not developed
- Procedures in sanitation plan not followed
- Sanitizer levels are not being monitored and recorded
- The premises is free of pests: Not in compliance

So if this is the new owner's idea of cleaning up their act with absolutely emphasis on clean hygiene I suppose those pests are clean by regularly taking baths in the melted ice that should be keeping the food cold?

Suffice to say that my recent experience interacting with the owner who claims to have cleaned up their act, but clearly is still having issues with health inspectors, makes me question their definition of hygiene and I won't be putting their food into my body again. 

So I wrote back to the owner and let them know of my concern, and how I wouldn't feel safe putting his food in my body.  

The owner told me to look at the 2015 health review which was cleaner, and to skip the 2016 review that is more recent. Yes, the 2015 review was cleaner, but the 2016 review seems more appropriate to consider at this point, no?

In any case, my personal experience of being contacted by the owner, asking me to remove the review based upon my personal experience, me going through the personal experience of communicating directly with the owner and being nagged by him to remove my review, going through the personal experience of reading the latest health report, going through the personal experience of making screenshots of that latest health report, and my personal experience of being further nagged by the owner in private messages has led me to draw the conclusion that I still think this place is off my list.

Perhaps spending time sanitizing the restaurant instead of trying to sanitize the yelp reviews would be time better spent?",Positive,Bad,Undefined
53,"Warning:

***Do not bring elderly Chinese parents here.***

Deer Garden allows you to choose, based on an a la carte menu,  the soup base, noodle type, and the toppings.  You check off what you want on the menu.

***Do not bring elderly Chinese parents here.***

A la carte menus apparently confuse elderly Chinese people

***Do not bring elderly Chinese parents here.***

There are numerous choices of soup bases, numerous choices of noodles and numerous choices of toppings.  On top of that, they have a drink menu, and HK style food that is not noodle based as well as snacks, with certain time restrictions for certain items.  This will add to the confusion for elderly Chinese parents.  Information overload, I guess.

***Do not bring elderly Chinese parents here.***

The menu is in both Chinese and English.  Apparently, written Chinese is tough to comprehend for elderly Chinese parents even if they are schooled in Chinese.

***Do not bring elderly Chinese parents here.***

I ended up explaining the whole thing to them.  They still didn't quite get the idea.

***Do not bring elderly Chinese parents here.***

I end up ordering for them.  In fact, I told them what to get based on my knowledge of their preferences.

***Do not bring elderly Chinese parents here.***

You get a drink included with the  a la carte noodle dish.  A choice of HK style coffee or tea.

The drinks arrive first, but only one drink came.  Elderly dad complains to Yelper, ""Where are the other drinks?  Why did they not bring the other ones?""

Yelper reply, ""Dad, you do know this is a Chinese establishment, so the timing of items coming out will be inconsistent?""

Elderly Chinese parent, ""Harmmmmmmmphhhhh!""  He grumbles.

The rest of the drinks came within a minute.

***Do not bring elderly Chinese parents here.***

The snacks of fried wings and pork chops come first.  They were tasty.  Wings were really crispy.  3 wings for $1.75.  Sides cost $1.75 if you order a noodle dish.

Elderly Chinese parents approve.

The first round of noodles come and it just so happens that elderly Chinese dad didn't get his, since the bowls were too large to fit on the tray.  So the waitress walks away.  She happens to walk by a few seconds later and elderly Chinese dad complains to her, ""I'm missing my bowl??""

Yelper interjects, ""It's coming dad, stop complaining.""

Elderly Chinese dad: ""I'm not complaining.  I'm afraid they forgot my noodles""

Yelper:  ""Dad, when you're speaking to the waitress in less than one minute about a missing bowl of noodles, you're complaining.""

***Do not bring elderly Chinese parents here.***

Surely enough, the ""missing/forgotten"" noodles came within one minute.

***Do not bring elderly Chinese parents here.***

The noodles and soup were a hit all around.  Good flavours and a large quantity of food.  Nobody finished their food.  All of it was packed to go.  Elderly Chinese parents were happy because of bang for the buck.  Average bill was $10 per person with left-overs.

The place is modern and clean.  Men's room is a bit tight, so if you have elderly Chinese parents, heed warning, ""***Do not bring elderly Chinese parents here.***"", else they may complain about a tight washroom.

***Do not bring elderly Chinese parents here.***

I would come here again.

Elderly Chinese parents want to come again.

I'm not coming with them.

They'll have to fend for themselves.  Good luck to them with that.

***Do not bring elderly Chinese parents here.***

I'm not the only one who went through this experience according to one of my buddies.  Similar thing happened to him.

***Do not bring elderly Chinese parents here.***

You've been warned.

If you do bring elderly Chinese parents here, you didn't read my review.  

Cash only.",Negative,Bad,Reasonable
54,"Beautiful food in a sleek setting, excellent drinks and service. Outstanding ambiance, perfect for date night. 

- Avocado gimlet was incredibly refreshing, a delightful twist on a classic.
- Heirloom tomatoes with smoked ricotta and polenta croutons was delicious and hit the spot.
- Handmade pasta filled with chicken pesto came served in an umami chicken broth and soft poached egg, a light, palate-opener for sure. This is more of a consomme with a few pieces of pasta (vs. traditional pasta)
- Ling cod was outstanding, perfectly fried and paired with a lovely medley of summer vegetables
- Steak Diane was sadly the sole letdown, overcooked tenderloin that was cooked to medium, instead of medium rare. Actual beef quality did not blow us away, despite being plated beautifully, bland and over-peppered

Enjoyed a wonderful dinner and highly recommend!",Positive,Good,Reasonable
55,"Love the live music here! On the night we came, there was a 2-man band (is that the right word?) that played a wide variety of songs, including an acoustic version of No Scrubs. Pretty neat. 

The food sucks horribly though. I got the nachos which are made with thinly-sliced potato shavings (like baked potato chips) instead of tortilla chips. The whole thing was lukewarm and the toppings were stingy.

They do have an extensive list of drinks including beers and cocktails, so you should visit for drinks rather than the food.",Undefined,Good,Expensive
56,"Engaging afternoon at Joe's. Walked in greeted by Brittany---no strange sneers given for video at entrance. Seated at a bright table by lovely Mirela. Marco rambled on about ""Men in tailored suits"" neighboring our table and chronic toe pain.  
   
Sockeye Salmon came with a visual perfect white flake and Mirela preceded its' arrival by asking ""how do I like it?"" We communicated ideas vocally and on paper in Latin, Italian and English. Marco devoured a battered taco and left with several drip marks on Zegna shirt.  
   
Grateful to Executive Chef Ryan Green and Wayne Sych for fine elegant morsels on bone china. Sorry for the ""Bussanich condition"" (radio host/scholar/author). Interior was elegant and service was superb. Cibo eccellente!",Positive,Good,Undefined
57,"If I could give this place no stars, I would.

Here are the snapshots.

To begin, the waitress kept asking our pregnant friend what alcohol she wanted.

Then after explaining to us that they served ""family style"" where everything was meant for sharing, we decided to order on our own, at which time, our waitress told us that because the kitchen was designed for family style, that she couldn't  guarantee that our food would arrive at the same time.  TOTAL cop out.  We said that was fine, and ordered anyway.

We ordered a fair bit of food, but since we were told that it would be family style, we expected to be able to have enough of each dish to be able to share.  Instead, this is what we received.

$32 for their Porcetta - we got a piece of meat about the size of 2 $2 coins surrounded by about 5 inches of hard, barely cooked fat surrounding it.

$9 for what they call spring rolls - which was essentially one single piece of lettuce wrapped in a piece of Japanese turnip.  The spring roll was about 3 cm long and there were only 2 of them.  So even cut in half, there wasn't even enough for 4 people to have a complete mouthful of what was essentially the simplest salad I have seen in a long time.

The croquettes tasted like pulled pork McNuggets.

The heirloom radishes hadn't been cleaned.

The halibut would have been wonderful, had there not been a very LONG strand of hair in it...

I could go on, but I already feel like I'm being cruel.

Granted, after we complained, they took off the ribs, the halibut and the porcetta,but our bill still came to over $180 before tip (so our bill would have been about $260 had we not complained) and we all left hungry, and ended up at another place to have an actual meal.

Not even worth a walk by.",Positive,Good,Expensive
58,"Calling all Yelpers,
Calling all Yelpers! 
Be on the look-out for yummy food 
Stars: 5 
Reviews: 300+ 
Possibly Thai
Considered charmed & delish

Thai Wok Kitchen stands out on Yelp because it's a 5-star restaurant in Vancouver, WA with over 300 reviews. Now that I've tried it, I can tell you that Thai Wok Kitchen is guilty of serving great food regardless of being Thai or Asian.

The friendly casual service matches the casual setting at Thai Wok Kitchen. Kudos to the team; however, it was the house-special Garlic Duck that seduced me. A lot of folks duck when it comes to eating duck, but not me when the dish is as flavorful and special as any duck I've tasted. Other fantastic finds were an addictive Cashew Nut Stir Fry, fresh Spring Rolls, and a satisfying Pad Thai. 

Thai Wok Kitchen doesn't have great Thai food. It has great food ... Period. 

Period, I said. 
Mic Drop. 
'Nuf said. 
No buts.
End of review.",Negative,Good,Undefined
59,"Men may be from Mars, but my wife is from China ... so, we get Chinese food from Mar's. 

Recommendations include: 
 * Dry Saut??ed Green Beans
 * Salt and Pepper Calamari 
 * Sizzling Hot Plate Beef 
 * Eggplant in Ginger and Garlic Sauce

The food is really just a-ok, but this is Vancouver, WA and my mission to Mar's Inn has one primary goal: satisfy my spouse's cravings for Chinese-style food regardless of whether it's from Mar's or not.",Positive,Undefined,Undefined
